Index,SMILES
185,Clc1cc2c3c(c(Cl)ccc3c1Cl)C(Cl)C2Cl
186,Clc1cc2c3c(c(Cl)cc(Cl)c3c1Cl)C(Cl)C2Cl
187,Clc1cc2c(Cl)c(Cl)cc3c2c(c1Cl)C(Cl)C3Cl
188,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1Cl)C(Cl)C2Cl
189,Clc1ccc2ccc(Cl)c3c2c1C(Cl)C3Cl
190,Clc1ccc2c(Cl)cc(Cl)c3c2c1C(Cl)C3Cl
191,Clc1cc2ccc(Cl)c3c2c(c1Cl)C(Cl)C3Cl
192,Clc1ccc2c(Cl)c(Cl)c(Cl)c3c2c1C(Cl)C3Cl
193,Clc1cc(Cl)c2c(Cl)cc(Cl)c3c2c1C(Cl)C3Cl
194,Clc1cc2c(Cl)cc(Cl)c3c2c(c1Cl)C(Cl)C3Cl
195,Clc1cc(Cl)c2c(Cl)c(Cl)c(Cl)c3c2c1C(Cl)C3Cl
196,Clc1cc2cc(Cl)c(Cl)c3c2c(c1Cl)C(Cl)C3Cl
197,Clc1cc2c(Cl)c(Cl)c(Cl)c3c2c(c1Cl)C(Cl)C3Cl
198,Clc1c(Cl)c2c3c(c(Cl)c(Cl)c(Cl)c3c1Cl)C(Cl)C2Cl
199,ClC1c2cccc3cccc(c23)C1(Cl)Cl
200,Clc1ccc2c3c(cccc13)C(Cl)(Cl)C2Cl
201,Clc1cc2c3c(cccc3c1)C(Cl)(Cl)C2Cl
202,Clc1cc2c3c(cccc3c1Cl)C(Cl)(Cl)C2Cl
203,Clc1ccc2cccc3c2c1C(Cl)C3(Cl)Cl
204,Clc1cc(Cl)c2cccc3c2c1C(Cl)C3(Cl)Cl
205,Clc1cc2cccc3c2c(c1Cl)C(Cl)C3(Cl)Cl
206,Clc1c(Cl)c2c3c(cccc3c1Cl)C(Cl)(Cl)C2Cl
207,Clc1ccc2c3c(cccc13)C(Cl)C2(Cl)Cl
208,Clc1ccc2c3c(ccc(Cl)c13)C(Cl)(Cl)C2Cl
209,Clc1cc2c3c(ccc(Cl)c3c1)C(Cl)(Cl)C2Cl
210,Clc1cc2c3c(ccc(Cl)c3c1Cl)C(Cl)(Cl)C2Cl
211,Clc1ccc2c(Cl)ccc3c2c1C(Cl)C3(Cl)Cl
212,Clc1cc(Cl)c2c(Cl)ccc3c2c1C(Cl)C3(Cl)Cl
213,Clc1cc2c(Cl)ccc3c2c(c1Cl)C(Cl)C3(Cl)Cl
214,Clc1c(Cl)c2c3c(ccc(Cl)c3c1Cl)C(Cl)(Cl)C2Cl
215,Clc1cc2c3c(cccc3c1)C(Cl)C2(Cl)Cl
216,Clc1cc2c3c(ccc(Cl)c3c1)C(Cl)C2(Cl)Cl
217,Clc1cc2c3c(cc(Cl)cc3c1)C(Cl)(Cl)C2Cl
218,Clc1cc2c3c(cc(Cl)c(Cl)c3c1)C(Cl)C2(Cl)Cl
219,Clc1cc2c3c(c(Cl)ccc3c1)C(Cl)C2(Cl)Cl
220,Clc1cc2c3c(c(Cl)cc(Cl)c3c1)C(Cl)C2(Cl)Cl
221,Clc1cc2c3c(c(Cl)c(Cl)cc3c1)C(Cl)C2(Cl)Cl
222,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1)C(Cl)C2(Cl)Cl
223,Clc1cc2c3c(cccc3c1Cl)C(Cl)C2(Cl)Cl
224,Clc1cc2c3c(ccc(Cl)c3c1Cl)C(Cl)C2(Cl)Cl
225,Clc1cc2c3c(cc(Cl)c(Cl)c3c1)C(Cl)(Cl)C2Cl
226,Clc1cc2c3c(cc(Cl)c(Cl)c3c1Cl)C(Cl)(Cl)C2Cl
227,Clc1cc2c3c(c(Cl)ccc3c1Cl)C(Cl)C2(Cl)Cl
228,Clc1cc2c3c(c(Cl)cc(Cl)c3c1Cl)C(Cl)C2(Cl)Cl
229,Clc1cc2c(Cl)c(Cl)cc3c2c(c1Cl)C(Cl)C3(Cl)Cl
230,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1Cl)C(Cl)C2(Cl)Cl
231,Clc1ccc2cccc3c2c1C(Cl)(Cl)C3Cl
232,Clc1ccc2c(Cl)ccc3c2c1C(Cl)(Cl)C3Cl
233,Clc1cc2c3c(c(Cl)ccc3c1)C(Cl)(Cl)C2Cl
234,Clc1cc2c3c(c(Cl)ccc3c1Cl)C(Cl)(Cl)C2Cl
235,Clc1ccc2ccc(Cl)c3c2c1C(Cl)C3(Cl)Cl
236,Clc1cc(Cl)c2ccc(Cl)c3c2c1C(Cl)C3(Cl)Cl
237,Clc1cc2ccc(Cl)c3c2c(c1Cl)C(Cl)C3(Cl)Cl
238,Clc1ccc2c(Cl)c(Cl)c(Cl)c3c2c1C(Cl)(Cl)C3Cl
239,Clc1cc(Cl)c2cccc3c2c1C(Cl)(Cl)C3Cl
240,Clc1cc(Cl)c2c(Cl)ccc3c2c1C(Cl)(Cl)C3Cl
241,Clc1cc2c3c(c(Cl)cc(Cl)c3c1)C(Cl)(Cl)C2Cl
242,Clc1cc2c3c(c(Cl)cc(Cl)c3c1Cl)C(Cl)(Cl)C2Cl
243,Clc1ccc2c(Cl)cc(Cl)c3c2c1C(Cl)C3(Cl)Cl
244,Clc1cc(Cl)c2c(Cl)cc(Cl)c3c2c1C(Cl)C3(Cl)Cl
245,Clc1cc2c(Cl)cc(Cl)c3c2c(c1Cl)C(Cl)C3(Cl)Cl
246,Clc1cc(Cl)c2c(Cl)c(Cl)c(Cl)c3c2c1C(Cl)(Cl)C3Cl
247,Clc1cc2cccc3c2c(c1Cl)C(Cl)(Cl)C3Cl
248,Clc1cc2c(Cl)ccc3c2c(c1Cl)C(Cl)(Cl)C3Cl
249,Clc1cc2c3c(c(Cl)c(Cl)cc3c1)C(Cl)(Cl)C2Cl
250,Clc1cc2c(Cl)c(Cl)cc3c2c(c1Cl)C(Cl)(Cl)C3Cl
251,Clc1cc2ccc(Cl)c3c2c(c1Cl)C(Cl)(Cl)C3Cl
252,Clc1cc2c(Cl)cc(Cl)c3c2c(c1Cl)C(Cl)(Cl)C3Cl
253,Clc1cc2cc(Cl)c(Cl)c3c2c(c1Cl)C(Cl)C3(Cl)Cl
254,Clc1cc2c(Cl)c(Cl)c(Cl)c3c2c(c1Cl)C(Cl)(Cl)C3Cl
255,Clc1c(Cl)c2c3c(cccc3c1Cl)C(Cl)C2(Cl)Cl
256,Clc1c(Cl)c2c3c(ccc(Cl)c3c1Cl)C(Cl)C2(Cl)Cl
257,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1)C(Cl)(Cl)C2Cl
258,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1Cl)C(Cl)(Cl)C2Cl
259,Clc1ccc2c(Cl)c(Cl)c(Cl)c3c2c1C(Cl)C3(Cl)Cl
260,Clc1cc(Cl)c2c(Cl)c(Cl)c(Cl)c3c2c1C(Cl)C3(Cl)Cl
261,Clc1cc2c(Cl)c(Cl)c(Cl)c3c2c(c1Cl)C(Cl)C3(Cl)Cl
262,Clc1c(Cl)c2c3c(c(Cl)c(Cl)c(Cl)c3c1Cl)C(Cl)(Cl)C2Cl
263,ClC1(Cl)c2cccc3cccc(c23)C1(Cl)Cl
264,Clc1ccc2c3c(cccc13)C(Cl)(Cl)C2(Cl)Cl
265,Clc1cc2c3c(cccc3c1)C(Cl)(Cl)C2(Cl)Cl
266,Clc1cc2c3c(cccc3c1Cl)C(Cl)(Cl)C2(Cl)Cl
267,Clc1ccc2cccc3c2c1C(Cl)(Cl)C3(Cl)Cl
268,Clc1cc(Cl)c2cccc3c2c1C(Cl)(Cl)C3(Cl)Cl
269,Clc1cc2cccc3c2c(c1Cl)C(Cl)(Cl)C3(Cl)Cl
270,Clc1c(Cl)c2c3c(cccc3c1Cl)C(Cl)(Cl)C2(Cl)Cl
271,Clc1ccc2c3c(ccc(Cl)c13)C(Cl)(Cl)C2(Cl)Cl
272,Clc1cc2c3c(ccc(Cl)c3c1)C(Cl)(Cl)C2(Cl)Cl
273,Clc1cc2c3c(ccc(Cl)c3c1Cl)C(Cl)(Cl)C2(Cl)Cl
274,Clc1ccc2c(Cl)ccc3c2c1C(Cl)(Cl)C3(Cl)Cl
275,Clc1cc(Cl)c2c(Cl)ccc3c2c1C(Cl)(Cl)C3(Cl)Cl
276,Clc1cc2c(Cl)ccc3c2c(c1Cl)C(Cl)(Cl)C3(Cl)Cl
277,Clc1c(Cl)c2c3c(ccc(Cl)c3c1Cl)C(Cl)(Cl)C2(Cl)Cl
278,Clc1cc2c3c(cc(Cl)cc3c1)C(Cl)(Cl)C2(Cl)Cl
279,Clc1cc2c3c(cc(Cl)c(Cl)c3c1)C(Cl)(Cl)C2(Cl)Cl
280,Clc1cc2c3c(c(Cl)ccc3c1)C(Cl)(Cl)C2(Cl)Cl
281,Clc1cc2c3c(c(Cl)cc(Cl)c3c1)C(Cl)(Cl)C2(Cl)Cl
282,Clc1cc2c3c(c(Cl)c(Cl)cc3c1)C(Cl)(Cl)C2(Cl)Cl
283,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1)C(Cl)(Cl)C2(Cl)Cl
284,Clc1cc2c3c(cc(Cl)c(Cl)c3c1Cl)C(Cl)(Cl)C2(Cl)Cl
285,Clc1cc2c3c(c(Cl)ccc3c1Cl)C(Cl)(Cl)C2(Cl)Cl
286,Clc1cc2c3c(c(Cl)cc(Cl)c3c1Cl)C(Cl)(Cl)C2(Cl)Cl
287,Clc1cc2c(Cl)c(Cl)cc3c2c(c1Cl)C(Cl)(Cl)C3(Cl)Cl
288,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1Cl)C(Cl)(Cl)C2(Cl)Cl
289,Clc1ccc2ccc(Cl)c3c2c1C(Cl)(Cl)C3(Cl)Cl
290,Clc1ccc2c(Cl)cc(Cl)c3c2c1C(Cl)(Cl)C3(Cl)Cl
291,Clc1cc2ccc(Cl)c3c2c(c1Cl)C(Cl)(Cl)C3(Cl)Cl
292,Clc1ccc2c(Cl)c(Cl)c(Cl)c3c2c1C(Cl)(Cl)C3(Cl)Cl
293,Clc1cc(Cl)c2c(Cl)cc(Cl)c3c2c1C(Cl)(Cl)C3(Cl)Cl
294,Clc1cc2c(Cl)cc(Cl)c3c2c(c1Cl)C(Cl)(Cl)C3(Cl)Cl
295,Clc1cc(Cl)c2c(Cl)c(Cl)c(Cl)c3c2c1C(Cl)(Cl)C3(Cl)Cl
296,Clc1cc2cc(Cl)c(Cl)c3c2c(c1Cl)C(Cl)(Cl)C3(Cl)Cl
297,Clc1cc2c(Cl)c(Cl)c(Cl)c3c2c(c1Cl)C(Cl)(Cl)C3(Cl)Cl
298,Clc1c(Cl)c2c3c(c(Cl)c(Cl)c(Cl)c3c1Cl)C(Cl)(Cl)C2(Cl)Cl
